studentId,courseId,academicYear,term,grade,gradePoint,attemptNo

S001,C201,2024,Spring,A,4.0,1
S001,C202,2024,Spring,B,3.0,1
S001,C203,2024,Fall,C,2.0,1

S002,C201,2024,Fall,F,0.0,1
S002,C202,2024,Fall,D,1.0,1
S002,C203,2024,Fall,C,2.0,1

S003,C204,2024,Fall,B+,3.5,1
S003,C205,2024,Fall,A-,3.7,1
S003,C212,2024,Fall,B,3.0,1

S004,C214,2024,Fall,C,2.0,1
S004,C223,2024,Summer,C,2.0,1
S004,C220,2024,Fall,D,1.0,1

S005,C213,2024,Fall,B,3.0,1
S005,C225,2024,Fall,B,3.0,1
S005,C230,2024,Spring,C,2.0,1

S006,C206,2024,Spring,F,0.0,1
S006,C217,2024,Spring,D,1.0,1
S006,C209,2024,Spring,C,2.0,1

S007,C223,2024,Summer,A,4.0,1
S007,C226,2024,Summer,B,3.0,1
S007,C231,2024,Summer,B+,3.5,1

S008,C215,2024,Fall,D,1.0,1
S008,C222,2024,Summer,F,0.0,1
S008,C227,2024,Spring,C,2.0,1

S009,C212,2024,Fall,B,3.0,1
S009,C221,2024,Spring,B,3.0,1
S009,C220,2024,Fall,C,2.0,1

S010,C219,2024,Summer,A-,3.7,1
S010,C216,2024,Summer,B,3.0,1
S010,C245,2024,Summer,B+,3.5,1

S011,C201,2024,Fall,B,3.0,1
S011,C202,2024,Fall,C,2.0,1
S011,C203,2024,Fall,B+,3.5,1

S012,C204,2024,Spring,D,1.0,1
S012,C205,2024,Spring,C,2.0,1
S012,C206,2024,Spring,F,0.0,1

S013,C207,2024,Fall,A,4.0,1
S013,C208,2024,Fall,B,3.0,1
S013,C209,2024,Fall,B+,3.5,1

S014,C210,2024,Summer,C,2.0,1
S014,C211,2024,Summer,D,1.0,1
S014,C212,2024,Summer,C,2.0,1

S015,C213,2024,Fall,A-,3.7,1
S015,C214,2024,Fall,B+,3.5,1
S015,C215,2024,Fall,B,3.0,1

S016,C216,2024,Spring,F,0.0,1
S016,C217,2024,Spring,F,0.0,1
S016,C218,2024,Spring,D,1.0,1

S017,C219,2024,Fall,B,3.0,1
S017,C220,2024,Fall,C,2.0,1
S017,C221,2024,Fall,B,3.0,1

S018,C222,2024,Summer,A,4.0,1
S018,C223,2024,Summer,B+,3.5,1
S018,C224,2024,Summer,B,3.0,1

S019,C225,2024,Fall,C,2.0,1
S019,C226,2024,Fall,D,1.0,1
S019,C227,2024,Fall,C,2.0,1

S020,C228,2024,Spring,A,4.0,1
S020,C229,2024,Spring,A-,3.7,1
S020,C230,2024,Spring,B+,3.5,1

S021,C216,2024,Fall,B,3.0,1
S021,C217,2024,Fall,C,2.0,1
S021,C218,2024,Fall,B+,3.5,1

S022,C219,2024,Spring,A-,3.7,1
S022,C220,2024,Spring,B+,3.5,1
S022,C221,2024,Spring,B,3.0,1

S023,C222,2024,Summer,B,3.0,1
S023,C223,2024,Summer,B,3.0,1
S023,C224,2024,Summer,C,2.0,1

S024,C225,2024,Fall,A,4.0,1
S024,C226,2024,Fall,B,3.0,1
S024,C227,2024,Fall,C,2.0,1

S025,C228,2024,Spring,B+,3.5,1
S025,C229,2024,Spring,C,2.0,1
S025,C230,2024,Spring,C,2.0,1

S026,C231,2024,Summer,A,4.0,1
S026,C232,2024,Summer,A-,3.7,1
S026,C233,2024,Summer,B+,3.5,1

S027,C234,2024,Fall,B,3.0,1
S027,C235,2024,Fall,C,2.0,1
S027,C236,2024,Fall,C,2.0,1

S028,C237,2024,Spring,F,0.0,1
S028,C238,2024,Spring,D,1.0,1
S028,C239,2024,Spring,C,2.0,1

S029,C240,2024,Summer,D,1.0,1
S029,C241,2024,Summer,D,1.0,1
S029,C242,2024,Summer,C,2.0,1

S030,C243,2024,Fall,F,0.0,1
S030,C244,2024,Fall,D,1.0,1
